Signal,3035 - 75th St W 29th Ave W,Unnamed: 2,Unnamed: 3
05/17/21 08:33:19.400,7,Phase Green Termination,2
05/17/21 08:33:19.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:33:24.700,9,Phase End Yellow Clearance,2
05/17/21 08:33:24.700,10,Phase Begin Red Clearance,2
05/17/21 08:33:26.700,11,Phase End Red Clearance,2
05/17/21 08:33:42.000,1,Phase Begin Green,2
05/17/21 08:34:59.300,7,Phase Green Termination,2
05/17/21 08:34:59.300,8,Phase Begin Yellow Clearance,2
05/17/21 08:35:04.600,9,Phase End Yellow Clearance,2
05/17/21 08:35:04.600,10,Phase Begin Red Clearance,2
05/17/21 08:35:06.600,11,Phase End Red Clearance,2
05/17/21 08:35:21.900,1,Phase Begin Green,2
05/17/21 08:38:39.400,7,Phase Green Termination,2
05/17/21 08:38:39.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:38:44.700,9,Phase End Yellow Clearance,2
05/17/21 08:38:44.700,10,Phase Begin Red Clearance,2
05/17/21 08:38:46.700,11,Phase End Red Clearance,2
05/17/21 08:39:03.600,1,Phase Begin Green,2
05/17/21 08:39:59.400,7,Phase Green Termination,2
05/17/21 08:39:59.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:40:04.700,9,Phase End Yellow Clearance,2
05/17/21 08:40:04.700,10,Phase Begin Red Clearance,2
05/17/21 08:40:06.700,11,Phase End Red Clearance,2
05/17/21 08:40:23.500,1,Phase Begin Green,2
05/17/21 08:45:01.300,7,Phase Green Termination,2
05/17/21 08:45:01.300,8,Phase Begin Yellow Clearance,2
05/17/21 08:45:06.600,9,Phase End Yellow Clearance,2
05/17/21 08:45:06.600,10,Phase Begin Red Clearance,2
05/17/21 08:45:08.600,11,Phase End Red Clearance,2
05/17/21 08:45:21.900,1,Phase Begin Green,2
05/17/21 08:48:32.100,7,Phase Green Termination,2
05/17/21 08:48:32.100,8,Phase Begin Yellow Clearance,2
05/17/21 08:48:37.400,9,Phase End Yellow Clearance,2
05/17/21 08:48:37.400,10,Phase Begin Red Clearance,2
05/17/21 08:48:39.400,11,Phase End Red Clearance,2
05/17/21 08:48:54.700,1,Phase Begin Green,2
05/17/21 08:49:59.200,7,Phase Green Termination,2
05/17/21 08:49:59.200,8,Phase Begin Yellow Clearance,2
05/17/21 08:50:04.500,9,Phase End Yellow Clearance,2
05/17/21 08:50:04.500,10,Phase Begin Red Clearance,2
05/17/21 08:50:06.500,11,Phase End Red Clearance,2
05/17/21 08:50:26.500,1,Phase Begin Green,2
05/17/21 08:51:39.200,7,Phase Green Termination,2
05/17/21 08:51:39.200,8,Phase Begin Yellow Clearance,2
05/17/21 08:51:44.500,9,Phase End Yellow Clearance,2
05/17/21 08:51:44.500,10,Phase Begin Red Clearance,2
05/17/21 08:51:46.500,11,Phase End Red Clearance,2
05/17/21 08:52:03.600,1,Phase Begin Green,2
05/17/21 08:53:19.300,7,Phase Green Termination,2
05/17/21 08:53:19.300,8,Phase Begin Yellow Clearance,2
05/17/21 08:53:24.600,9,Phase End Yellow Clearance,2
05/17/21 08:53:24.600,10,Phase Begin Red Clearance,2
05/17/21 08:53:26.600,11,Phase End Red Clearance,2
05/17/21 08:53:43.100,1,Phase Begin Green,2
05/17/21 08:55:13.000,7,Phase Green Termination,2
05/17/21 08:55:13.000,8,Phase Begin Yellow Clearance,2
05/17/21 08:55:18.300,9,Phase End Yellow Clearance,2
05/17/21 08:55:18.300,10,Phase Begin Red Clearance,2
05/17/21 08:55:20.300,11,Phase End Red Clearance,2
05/17/21 08:55:35.600,1,Phase Begin Green,2
05/17/21 08:58:38.600,7,Phase Green Termination,2
05/17/21 08:58:38.600,8,Phase Begin Yellow Clearance,2
05/17/21 08:58:43.900,9,Phase End Yellow Clearance,2
05/17/21 08:58:43.900,10,Phase Begin Red Clearance,2
05/17/21 08:58:45.900,11,Phase End Red Clearance,2
05/17/21 08:59:02.500,1,Phase Begin Green,2
05/17/21 09:01:39.200,7,Phase Green Termination,2
05/17/21 09:01:39.200,8,Phase Begin Yellow Clearance,2
05/17/21 09:01:44.500,9,Phase End Yellow Clearance,2
05/17/21 09:01:44.500,10,Phase Begin Red Clearance,2
05/17/21 09:01:46.500,11,Phase End Red Clearance,2
05/17/21 09:02:01.800,1,Phase Begin Green,2
05/17/21 09:04:59.300,7,Phase Green Termination,2
05/17/21 09:04:59.300,8,Phase Begin Yellow Clearance,2
05/17/21 09:05:04.600,9,Phase End Yellow Clearance,2
05/17/21 09:05:04.600,10,Phase Begin Red Clearance,2
05/17/21 09:05:06.600,11,Phase End Red Clearance,2
05/17/21 09:05:21.900,1,Phase Begin Green,2
05/17/21 09:06:39.200,7,Phase Green Termination,2
05/17/21 09:06:39.200,8,Phase Begin Yellow Clearance,2
05/17/21 09:06:44.500,9,Phase End Yellow Clearance,2
05/17/21 09:06:44.500,10,Phase Begin Red Clearance,2
05/17/21 09:06:46.500,11,Phase End Red Clearance,2
05/17/21 09:07:19.400,1,Phase Begin Green,2
05/17/21 09:08:19.300,7,Phase Green Termination,2
05/17/21 09:08:19.300,8,Phase Begin Yellow Clearance,2
05/17/21 09:08:24.600,9,Phase End Yellow Clearance,2
05/17/21 09:08:24.600,10,Phase Begin Red Clearance,2
05/17/21 09:08:26.600,11,Phase End Red Clearance,2
05/17/21 09:08:47.300,1,Phase Begin Green,2
05/17/21 09:11:39.200,7,Phase Green Termination,2
05/17/21 09:11:39.200,8,Phase Begin Yellow Clearance,2
05/17/21 09:11:44.500,9,Phase End Yellow Clearance,2
05/17/21 09:11:44.500,10,Phase Begin Red Clearance,2
05/17/21 09:11:46.500,11,Phase End Red Clearance,2
05/17/21 09:12:01.800,1,Phase Begin Green,2
05/17/21 09:15:02.100,7,Phase Green Termination,2
05/17/21 09:15:02.100,8,Phase Begin Yellow Clearance,2
05/17/21 09:15:07.400,9,Phase End Yellow Clearance,2
05/17/21 09:15:07.400,10,Phase Begin Red Clearance,2
05/17/21 09:15:09.400,11,Phase End Red Clearance,2
05/17/21 09:15:24.200,1,Phase Begin Green,2
05/17/21 09:16:40.100,7,Phase Green Termination,2
05/17/21 09:16:40.100,8,Phase Begin Yellow Clearance,2
05/17/21 09:16:45.400,9,Phase End Yellow Clearance,2
05/17/21 09:16:45.400,10,Phase Begin Red Clearance,2
05/17/21 09:16:47.400,11,Phase End Red Clearance,2
05/17/21 09:17:39.700,1,Phase Begin Green,2
05/17/21 09:18:20.100,7,Phase Green Termination,2
05/17/21 09:18:20.100,8,Phase Begin Yellow Clearance,2
05/17/21 09:18:25.400,9,Phase End Yellow Clearance,2
05/17/21 09:18:25.400,10,Phase Begin Red Clearance,2
05/17/21 09:18:27.400,11,Phase End Red Clearance,2
05/17/21 09:18:46.600,1,Phase Begin Green,2
05/17/21 09:20:23.000,7,Phase Green Termination,2
05/17/21 09:20:23.000,8,Phase Begin Yellow Clearance,2
05/17/21 09:20:28.300,9,Phase End Yellow Clearance,2
05/17/21 09:20:28.300,10,Phase Begin Red Clearance,2
05/17/21 09:20:30.300,11,Phase End Red Clearance,2
05/17/21 09:20:45.600,1,Phase Begin Green,2
05/17/21 09:23:20.100,7,Phase Green Termination,2
05/17/21 09:23:20.100,8,Phase Begin Yellow Clearance,2
05/17/21 09:23:25.400,9,Phase End Yellow Clearance,2
05/17/21 09:23:25.400,10,Phase Begin Red Clearance,2
05/17/21 09:23:27.400,11,Phase End Red Clearance,2
05/17/21 09:23:45.100,1,Phase Begin Green,2
05/17/21 09:25:00.200,7,Phase Green Termination,2
05/17/21 09:25:00.200,8,Phase Begin Yellow Clearance,2
